Акт;Требование (статья);Битая ссылка;Класс;Регулятор
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 18. Доступ к экологической информации";"https://10.61.42.188/rus/docs/K2100000400#z175";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 19. Форма предоставления экологической информации";"https://10.61.42.188/rus/docs/K2100000400#z184";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 20. Сроки и порядок предоставления экологической информации";"https://10.61.42.188/rus/docs/K2100000400#z189";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 22. Регистр выбросов и переноса загрязнителей";"https://10.61.42.188/rus/docs/K2100000400#z222";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 73. Общественные слушания в отношении проекта отчета о возможных воздействиях";"https://10.61.42.188/rus/docs/K2100000400#z903";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 96. Проведение общественных слушаний";"https://10.61.42.188/rus/docs/K2100000400#z1222";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 165. Права и обязанности производителей метеорологической и (или) гидрологической информации и (или) информации о состоянии окружающей среды";"https://10.61.42.188/rus/docs/K2100000400#z1995";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 41. Лимиты накопления отходов, лимиты захоронения отходов";"https://10.61.42.188/rus/docs/K2100000400#z494";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 143. Выявление, оценка и учет объектов исторического загрязнения";"https://10.61.42.188/rus/docs/K2100000400#z1732";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 319. Управление отходами";"https://10.61.42.188/rus/docs/K2100000400#z3432";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 320. Накопление отходов";"https://10.61.42.188/rus/docs/K2100000400#z3445";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 321. Cбор отходов";"https://10.61.42.188/rus/docs/K2100000400#z3455";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 322. Транспортировка отходов";"https://10.61.42.188/rus/docs/K2100000400#z3466";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 323. Восстановление отходов";"https://10.61.42.188/rus/docs/K2100000400#z3469";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 324. Энергетическая утилизация отходов";"https://10.61.42.188/rus/docs/K2100000400#z3478";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 327. Основополагающее экологическое требование к операциям по управлению отходами";"https://10.61.42.188/rus/docs/K2100000400#z3498";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 329. Принцип иерархии";"https://10.61.42.188/rus/docs/K2100000400#z3508";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 330. Принцип близости к источнику";"https://10.61.42.188/rus/docs/K2100000400#z3524";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 331. Принцип ответственности образователя отходов";"https://10.61.42.188/rus/docs/K2100000400#z3526";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 332. Принцип расширенных обязательств производителей (импортеров)";"https://10.61.42.188/rus/docs/K2100000400#z3528";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 334. Нормирование в области управления отходами";"https://10.61.42.188/rus/docs/K2100000400#z3539";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 335. Программа управления отходами";"https://10.61.42.188/rus/docs/K2100000400#z3543";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 336. Лицензирование деятельности в сфере восстановления и удаления опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3548";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 337. Уведомительный режим субъектов предпринимательства в сфере управления отходами";"https://10.61.42.188/rus/docs/K2100000400#z3558";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 338. Виды отходов и их классификация";"https://10.61.42.188/rus/docs/K2100000400#z3572";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 339. Право собственности на отходы и ответственность за управление ими";"https://10.61.42.188/rus/docs/K2100000400#z3581";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 342. Общие положения об опасных отходах";"https://10.61.42.188/rus/docs/K2100000400#z3604";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 343. Паспорт опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3625";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 344. Экологические требования при управлении опасными отходами";"https://10.61.42.188/rus/docs/K2100000400#z3646";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 345. Экологические требования при транспортировке опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3653";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 346. Трансграничная перевозка опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3663";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 347. Учет опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3676";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 349. Классы полигонов";"https://10.61.42.188/rus/docs/K2100000400#z3685";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 350. Экологические требования к полигонам";"https://10.61.42.188/rus/docs/K2100000400#z3692";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 351. Отходы, не приемлемые для полигонов";"https://10.61.42.188/rus/docs/K2100000400#z3720";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 353. Общие требования для полигонов опасных отходов";"https://10.61.42.188/rus/docs/K2100000400#z3790";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 354. Процедуры приема отходов";"https://10.61.42.188/rus/docs/K2100000400#z3813";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 355. Контроль и мониторинг на стадии эксплуатации полигона";"https://10.61.42.188/rus/docs/K2100000400#z3824";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 356. Процедуры закрытия, рекультивации и мониторинга полигона (части полигона)";"https://10.61.42.188/rus/docs/K2100000400#z3833";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 359. Требования к проектированию, строительству и эксплуатации объектов складирования отходов";"https://10.61.42.188/rus/docs/K2100000400#z3853";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 360. Программа управления отходами горнодобывающей промышленности";"https://10.61.42.188/rus/docs/K2100000400#z3874";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 361. Предотвращение ухудшения состояния воды, загрязнения воздуха и почвы";"https://10.61.42.188/rus/docs/K2100000400#z3886";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 362. Предотвращение крупных экологических происшествий";"https://10.61.42.188/rus/docs/K2100000400#z3894";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 367. Централизованная система сбора твердых бытовых отходов";"https://10.61.42.188/rus/docs/K2100000400#z3956";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 368. Требования к транспортировке твердых бытовых отходов";"https://10.61.42.188/rus/docs/K2100000400#z3967";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 370. Экологические требования в области управления радиоактивными отходами";"https://10.61.42.188/rus/docs/K2100000400#z4002";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 372. Экологические требования при хранении и захоронении радиоактивных отходов";"https://10.61.42.188/rus/docs/K2100000400#z4013";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 373. Экологические требования к пунктам хранения и (или) захоронения радиоактивных отходов";"https://10.61.42.188/rus/docs/K2100000400#z4023";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 374. Трансграничное перемещение радиоактивных отходов";"https://10.61.42.188/rus/docs/K2100000400#z4076";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 375. Экологические требования при транспортировке радиоактивных отходов";"https://10.61.42.188/rus/docs/K2100000400#z4083";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 376. Экологические требования в области управления строительными отходами";"https://10.61.42.188/rus/docs/K2100000400#z4087";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 377. Экологические требования в области управления медицинскими отходами";"https://10.61.42.188/rus/docs/K2100000400#z4092";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 378. Экологические требования в области управления биологическими отходами";"https://10.61.42.188/rus/docs/K2100000400#z4096";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 379. Экологические требования в области управления отходами, содержащими стойкие органические загрязнители";"https://10.61.42.188/rus/docs/K2100000400#z4100";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 380. Экологические требования в области управления отдельными видами отходов и процессами их жизненного цикла";"https://10.61.42.188/rus/docs/K2100000400#z4106";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 381. Экологические требования в области управления отходами при проектировании зданий, строений, сооружений и иных объектов";"https://10.61.42.188/rus/docs/K2100000400#z4109";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 384. Ведение государственного кадастра отходов";"https://10.61.42.188/rus/docs/K2100000400#z4120";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 386. Требования к исполнению расширенных обязательств производителей (импортеров)";"https://10.61.42.188/rus/docs/K2100000400#z4136";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 390. Ответственность участников расширенных обязательств производителей (импортеров)";"https://10.61.42.188/rus/docs/K2100000400#z4213";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 392. Исполнение расширенных обязательств производителей (импортеров)";"https://10.61.42.188/rus/docs/K2100000400#z4223";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 402. Экологические требования к деятельности по производству, ввозу, вывозу, использованию и уничтожению стойких органических загрязнителей и хлорсодержащих отходов";"https://10.61.42.188/rus/docs/K2100000400#z4339";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 41. Лимиты накопления отходов, лимиты захоронения отходов";"https://10.61.41.253/rus/docs/K2100000400#z494";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 143. Выявление, оценка и учет объектов исторического загрязнения";"https://10.61.41.253/rus/docs/K2100000400#z1732";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 319. Управление отходами";"https://10.61.41.253/rus/docs/K2100000400#z3432";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 320. Накопление отходов";"https://10.61.41.253/rus/docs/K2100000400#z3445";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 321. Cбор отходов";"https://10.61.41.253/rus/docs/K2100000400#z3455";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 322. Транспортировка отходов";"https://10.61.41.253/rus/docs/K2100000400#z3466";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 323. Восстановление отходов";"https://10.61.41.253/rus/docs/K2100000400#z3469";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 324. Энергетическая утилизация отходов";"https://10.61.41.253/rus/docs/K2100000400#z3478";"internal_ip";"МЭПР РК"
"ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН. Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК.";"Статья 327. Основополагающее экологическое требование к операциям по управлению отходами";"https://10.61.41.253/rus/docs/K2100000400#z3498";"internal_ip";"МЭПР РК"
